nohup: ignoring input
Epoch 1 Step 100: loss=5.8381, tf_ratio=1.000
Epoch 1 Step 200: loss=5.9347, tf_ratio=1.000
Epoch 1 Step 300: loss=5.3964, tf_ratio=1.000
Epoch 1 Step 400: loss=5.2710, tf_ratio=1.000
Epoch 1 Step 500: loss=4.5003, tf_ratio=1.000
Epoch 1 Step 600: loss=4.8845, tf_ratio=1.000
Epoch 1 Step 700: loss=4.7511, tf_ratio=1.000
Epoch 1 Step 800: loss=5.0721, tf_ratio=1.000
Epoch 1 Step 900: loss=4.9672, tf_ratio=1.000
Epoch 1 Step 1000: loss=5.1555, tf_ratio=1.000
Epoch 1 Step 1100: loss=4.6626, tf_ratio=1.000
Epoch 1 Step 1200: loss=4.5423, tf_ratio=1.000
Epoch 1 Step 1300: loss=4.8263, tf_ratio=1.000
Epoch 1 Step 1400: loss=5.2802, tf_ratio=1.000
Epoch 1 Step 1500: loss=4.8484, tf_ratio=1.000
Epoch 1 Step 1600: loss=4.6887, tf_ratio=1.000
Epoch 1 Step 1700: loss=3.8235, tf_ratio=1.000
Epoch 1 Step 1800: loss=4.5055, tf_ratio=1.000
Epoch 1 Step 1900: loss=4.5624, tf_ratio=1.000
Epoch 1 Step 2000: loss=4.9750, tf_ratio=1.000
Epoch 1 Step 2100: loss=4.4385, tf_ratio=1.000
Epoch 1 Step 2200: loss=4.3518, tf_ratio=1.000
Epoch 1 Step 2300: loss=5.6052, tf_ratio=1.000
Epoch 1 Step 2400: loss=4.1733, tf_ratio=1.000
Epoch 1 Step 2500: loss=4.3139, tf_ratio=1.000
Epoch 1 Step 2600: loss=4.0437, tf_ratio=1.000
Epoch 1 Step 2700: loss=4.3122, tf_ratio=1.000
Epoch 1 Step 2800: loss=4.3702, tf_ratio=1.000
Epoch 1 Step 2900: loss=3.9331, tf_ratio=1.000
Epoch 1 Step 3000: loss=3.8227, tf_ratio=1.000
Epoch 1 Step 3100: loss=4.4358, tf_ratio=1.000
Epoch 1 Step 3200: loss=4.2453, tf_ratio=1.000
Epoch 1 Step 3300: loss=4.2199, tf_ratio=1.000
Epoch 1 Step 3400: loss=3.9751, tf_ratio=1.000
Epoch 1 Step 3500: loss=3.9483, tf_ratio=1.000
Epoch 1 Step 3600: loss=4.0951, tf_ratio=1.000
Epoch 1 Step 3700: loss=4.3165, tf_ratio=1.000
Epoch 1 Step 3800: loss=4.1239, tf_ratio=1.000
Epoch 1 Step 3900: loss=3.5995, tf_ratio=1.000
Epoch 1 Step 4000: loss=4.4218, tf_ratio=1.000
Epoch 1 Step 4100: loss=4.0841, tf_ratio=1.000
Epoch 1 Step 4200: loss=3.9840, tf_ratio=1.000
Epoch 1 Step 4300: loss=3.8122, tf_ratio=1.000
Epoch 1 Step 4400: loss=4.1946, tf_ratio=1.000
Epoch 1 Step 4500: loss=3.8047, tf_ratio=1.000
Epoch 1 Step 4600: loss=4.3666, tf_ratio=1.000
Epoch 1 Step 4700: loss=4.1000, tf_ratio=1.000
Epoch 1 Step 4800: loss=3.9754, tf_ratio=1.000
Epoch 1 Step 4900: loss=3.6041, tf_ratio=1.000
Epoch 1 Step 5000: loss=3.6572, tf_ratio=1.000
Epoch 1 Step 5100: loss=4.2120, tf_ratio=1.000
Epoch 1 Step 5200: loss=4.1612, tf_ratio=1.000
Epoch 1 Step 5300: loss=4.1676, tf_ratio=1.000
Epoch 1 Step 5400: loss=3.9291, tf_ratio=1.000
Epoch 1 Step 5500: loss=4.2056, tf_ratio=1.000
Epoch 1 Step 5600: loss=3.8274, tf_ratio=1.000
Epoch 1 Step 5700: loss=3.7932, tf_ratio=1.000
Epoch 1 Step 5800: loss=3.1796, tf_ratio=1.000
Epoch 1 Step 5900: loss=3.5980, tf_ratio=1.000
Epoch 1 Step 6000: loss=4.1755, tf_ratio=1.000
Epoch 1 Step 6100: loss=3.3723, tf_ratio=1.000
Epoch 1 Step 6200: loss=3.6261, tf_ratio=1.000
Epoch 1 Step 6300: loss=3.4584, tf_ratio=1.000
Epoch 1 Step 6400: loss=3.8076, tf_ratio=1.000
Epoch 1 Step 6500: loss=4.0127, tf_ratio=1.000
Epoch 1 Step 6600: loss=3.9959, tf_ratio=1.000
Epoch 1 Step 6700: loss=3.9983, tf_ratio=1.000
Epoch 1 Step 6800: loss=3.7577, tf_ratio=1.000
Epoch 1 Step 6900: loss=3.9814, tf_ratio=1.000
Epoch 1 Step 7000: loss=3.8096, tf_ratio=1.000
Epoch 1 Step 7100: loss=3.6100, tf_ratio=1.000
Epoch 1 Step 7200: loss=3.3753, tf_ratio=1.000
Epoch 1 Step 7300: loss=3.8884, tf_ratio=1.000
Epoch 1 Step 7400: loss=3.7517, tf_ratio=1.000
Epoch 1 Step 7500: loss=3.6185, tf_ratio=1.000
Epoch 1 Step 7600: loss=3.7833, tf_ratio=1.000
Epoch 1 Step 7700: loss=4.2794, tf_ratio=1.000
Epoch 1 Step 7800: loss=3.6463, tf_ratio=1.000
Epoch 1 Step 7900: loss=3.8061, tf_ratio=1.000
Epoch 1 Step 8000: loss=3.3792, tf_ratio=1.000
Epoch 1 Step 8100: loss=3.8026, tf_ratio=1.000
Epoch 1 Step 8200: loss=4.1606, tf_ratio=1.000
Epoch 1 Step 8300: loss=4.2636, tf_ratio=1.000
Epoch 1 Step 8400: loss=4.1091, tf_ratio=1.000
Epoch 1 Step 8500: loss=3.5612, tf_ratio=1.000
Epoch 1 Step 8600: loss=3.6524, tf_ratio=1.000
Epoch 1 Step 8700: loss=3.3823, tf_ratio=1.000
Epoch 1 Step 8800: loss=3.3812, tf_ratio=1.000
Epoch 1 Step 8900: loss=3.8426, tf_ratio=1.000
Epoch 1 Step 9000: loss=3.6205, tf_ratio=1.000
Epoch 1 Step 9100: loss=3.7469, tf_ratio=1.000
Epoch 1 Step 9200: loss=3.7966, tf_ratio=1.000
Epoch 1 Step 9300: loss=4.0856, tf_ratio=1.000
Epoch 1 Step 9400: loss=4.1251, tf_ratio=1.000
Epoch 1 Step 9500: loss=3.7519, tf_ratio=1.000
Epoch 1 Step 9600: loss=3.9773, tf_ratio=1.000
Epoch 1 Step 9700: loss=3.9985, tf_ratio=1.000
Epoch 1 Step 9800: loss=3.3886, tf_ratio=1.000
Epoch 1 Step 9900: loss=3.9188, tf_ratio=1.000
Epoch 1 Step 10000: loss=3.8180, tf_ratio=1.000
Epoch 1 Step 10100: loss=3.7607, tf_ratio=1.000
Epoch 1 Step 10200: loss=3.6217, tf_ratio=1.000
Epoch 1 Step 10300: loss=3.5777, tf_ratio=1.000
Epoch 1 Step 10400: loss=3.1743, tf_ratio=1.000
Epoch 1 Step 10500: loss=3.6300, tf_ratio=1.000
Epoch 1 Step 10600: loss=3.6125, tf_ratio=1.000
Epoch 1 Step 10700: loss=3.6974, tf_ratio=1.000
Epoch 1 Step 10800: loss=3.2828, tf_ratio=1.000
Epoch 1 Step 10900: loss=3.1597, tf_ratio=1.000
Epoch 1 Step 11000: loss=3.8402, tf_ratio=1.000
Epoch 1 Step 11100: loss=3.7439, tf_ratio=1.000
