nohup: ignoring input
/home/ljb/miniconda3/envs/myenv/lib/python3.12/site-packages/torch/nn/functional.py:5849: UserWarning: Support for mismatched key_padding_mask and attn_mask is deprecated. Use same type for both instead.
  warnings.warn(
Epoch 1 Step 100: loss=9.1734, tf_ratio=1.000
Epoch 1 Step 200: loss=7.9692, tf_ratio=1.000
Epoch 1 Step 300: loss=7.0894, tf_ratio=1.000
Epoch 1 Step 400: loss=6.7158, tf_ratio=1.000
Epoch 1 Step 500: loss=7.1877, tf_ratio=1.000
Epoch 1 Step 600: loss=6.6569, tf_ratio=1.000
Epoch 1 Step 700: loss=6.8190, tf_ratio=1.000
Epoch 1 Step 800: loss=6.3490, tf_ratio=1.000
Epoch 1 Step 900: loss=6.7002, tf_ratio=1.000
Epoch 1 Step 1000: loss=6.3424, tf_ratio=1.000
Epoch 1 Step 1100: loss=6.3900, tf_ratio=1.000
Epoch 1 Step 1200: loss=5.8469, tf_ratio=1.000
Epoch 1 Step 1300: loss=5.7796, tf_ratio=1.000
Epoch 1 Step 1400: loss=6.1018, tf_ratio=1.000
Epoch 1 Step 1500: loss=7.0101, tf_ratio=1.000
Epoch 1 Step 1600: loss=6.3042, tf_ratio=1.000
Epoch 1 Step 1700: loss=5.9025, tf_ratio=1.000
Epoch 1 Step 1800: loss=6.5516, tf_ratio=1.000
Epoch 1 Step 1900: loss=6.1511, tf_ratio=1.000
Epoch 1 Step 2000: loss=6.2687, tf_ratio=1.000
Epoch 1 Step 2100: loss=6.0184, tf_ratio=1.000
Epoch 1 Step 2200: loss=5.9856, tf_ratio=1.000
Epoch 1 Step 2300: loss=6.3651, tf_ratio=1.000
Epoch 1 Step 2400: loss=6.6170, tf_ratio=1.000
Epoch 1 Step 2500: loss=6.2992, tf_ratio=1.000
Epoch 1 Step 2600: loss=6.1741, tf_ratio=1.000
Epoch 1 Step 2700: loss=5.8028, tf_ratio=1.000
Epoch 1 Step 2800: loss=5.5874, tf_ratio=1.000
Epoch 1 Step 2900: loss=6.0349, tf_ratio=1.000
Epoch 1 Step 3000: loss=6.0346, tf_ratio=1.000
Epoch 1 Step 3100: loss=6.1245, tf_ratio=1.000
Epoch 1 Step 3200: loss=5.9892, tf_ratio=1.000
Epoch 1 Step 3300: loss=6.2283, tf_ratio=1.000
Epoch 1 Step 3400: loss=6.1029, tf_ratio=1.000
Epoch 1 Step 3500: loss=6.2149, tf_ratio=1.000
Epoch 1 Step 3600: loss=6.2863, tf_ratio=1.000
Epoch 1 Step 3700: loss=5.8264, tf_ratio=1.000
Epoch 1 Step 3800: loss=5.6607, tf_ratio=1.000
Epoch 1 Step 3900: loss=5.8287, tf_ratio=1.000
Epoch 1 Step 4000: loss=5.9651, tf_ratio=1.000
Epoch 1 Step 4100: loss=6.1168, tf_ratio=1.000
Epoch 1 Step 4200: loss=6.3522, tf_ratio=1.000
Epoch 1 Step 4300: loss=6.2711, tf_ratio=1.000
Epoch 1 Step 4400: loss=5.8279, tf_ratio=1.000
Epoch 1 Step 4500: loss=6.4160, tf_ratio=1.000
Epoch 1 Step 4600: loss=6.2054, tf_ratio=1.000
Epoch 1 Step 4700: loss=6.2245, tf_ratio=1.000
Epoch 1 Step 4800: loss=6.0938, tf_ratio=1.000
Epoch 1 Step 4900: loss=5.9953, tf_ratio=1.000
Epoch 1 Step 5000: loss=5.8263, tf_ratio=1.000
Epoch 1 Step 5100: loss=5.9703, tf_ratio=1.000
Epoch 1 Step 5200: loss=5.8221, tf_ratio=1.000
Epoch 1 Step 5300: loss=5.5821, tf_ratio=1.000
